Date,Sector,ValueIndex,VolumeIndex,Year,Month,YearMonth
2023-01-01,All retail incl. fuel,98.7,101.0,2023,Jan,2023-01
2023-01-01,Clothing & footwear,99.7,103.2,2023,Jan,2023-01
2023-01-01,Food stores,96.5,100.7,2023,Jan,2023-01
2023-01-01,Household goods,101.0,101.4,2023,Jan,2023-01
2023-01-01,Non-food stores,98.5,100.6,2023,Jan,2023-01
2023-01-01,Non-store retailing,97.4,99.1,2023,Jan,2023-01
2023-02-01,All retail incl. fuel,100.0,101.4,2023,Feb,2023-02
2023-02-01,Clothing & footwear,101.4,103.5,2023,Feb,2023-02
2023-02-01,Food stores,98.2,101.4,2023,Feb,2023-02
2023-02-01,Household goods,99.2,99.6,2023,Feb,2023-02
2023-02-01,Non-food stores,100.7,102.1,2023,Feb,2023-02
2023-02-01,Non-store retailing,98.6,99.7,2023,Feb,2023-02
2023-03-01,All retail incl. fuel,98.9,100.1,2023,Mar,2023-03
2023-03-01,Clothing & footwear,99.1,100.5,2023,Mar,2023-03
2023-03-01,Food stores,98.4,100.6,2023,Mar,2023-03
2023-03-01,Household goods,100.5,100.2,2023,Mar,2023-03
2023-03-01,Non-food stores,99.0,99.8,2023,Mar,2023-03
2023-03-01,Non-store retailing,98.6,99.5,2023,Mar,2023-03
2023-04-01,All retail incl. fuel,100.7,101.4,2023,Apr,2023-04
2023-04-01,Clothing & footwear,102.0,102.9,2023,Apr,2023-04
2023-04-01,Food stores,100.1,101.2,2023,Apr,2023-04
2023-04-01,Household goods,102.7,102.3,2023,Apr,2023-04
2023-04-01,Non-food stores,102.1,102.5,2023,Apr,2023-04
2023-04-01,Non-store retailing,99.6,100.1,2023,Apr,2023-04
2023-05-01,All retail incl. fuel,100.1,100.2,2023,May,2023-05
2023-05-01,Clothing & footwear,100.8,100.8,2023,May,2023-05
2023-05-01,Food stores,100.4,100.4,2023,May,2023-05
2023-05-01,Household goods,101.9,101.2,2023,May,2023-05
2023-05-01,Non-food stores,101.2,100.9,2023,May,2023-05
2023-05-01,Non-store retailing,99.6,100.0,2023,May,2023-05
2023-06-01,All retail incl. fuel,100.8,101.0,2023,Jun,2023-06
2023-06-01,Clothing & footwear,103.1,102.7,2023,Jun,2023-06
2023-06-01,Food stores,101.4,100.8,2023,Jun,2023-06
2023-06-01,Household goods,101.4,101.3,2023,Jun,2023-06
2023-06-01,Non-food stores,102.2,102.1,2023,Jun,2023-06
2023-06-01,Non-store retailing,99.4,99.9,2023,Jun,2023-06
2023-07-01,All retail incl. fuel,99.7,99.8,2023,Jul,2023-07
2023-07-01,Clothing & footwear,100.1,99.4,2023,Jul,2023-07
2023-07-01,Food stores,99.6,98.8,2023,Jul,2023-07
2023-07-01,Household goods,101.4,101.3,2023,Jul,2023-07
2023-07-01,Non-food stores,100.9,100.5,2023,Jul,2023-07
2023-07-01,Non-store retailing,100.8,101.2,2023,Jul,2023-07
2023-08-01,All retail incl. fuel,100.6,99.7,2023,Aug,2023-08
2023-08-01,Clothing & footwear,99.2,98.3,2023,Aug,2023-08
2023-08-01,Food stores,101.0,99.5,2023,Aug,2023-08
2023-08-01,Household goods,101.3,101.1,2023,Aug,2023-08
2023-08-01,Non-food stores,100.4,99.7,2023,Aug,2023-08
2023-08-01,Non-store retailing,102.1,101.1,2023,Aug,2023-08
2023-09-01,All retail incl. fuel,100.1,98.7,2023,Sep,2023-09
2023-09-01,Clothing & footwear,96.5,95.0,2023,Sep,2023-09
2023-09-01,Food stores,101.9,100.1,2023,Sep,2023-09
2023-09-01,Household goods,99.1,99.0,2023,Sep,2023-09
2023-09-01,Non-food stores,98.1,97.2,2023,Sep,2023-09
2023-09-01,Non-store retailing,99.6,98.4,2023,Sep,2023-09
2023-10-01,All retail incl. fuel,100.9,99.3,2023,Oct,2023-10
2023-10-01,Clothing & footwear,99.6,98.2,2023,Oct,2023-10
2023-10-01,Food stores,102.5,100.6,2023,Oct,2023-10
2023-10-01,Household goods,97.0,97.4,2023,Oct,2023-10
2023-10-01,Non-food stores,98.6,97.8,2023,Oct,2023-10
2023-10-01,Non-store retailing,101.5,100.2,2023,Oct,2023-10
2023-11-01,All retail incl. fuel,102.1,100.8,2023,Nov,2023-11
2023-11-01,Clothing & footwear,101.2,100.0,2023,Nov,2023-11
2023-11-01,Food stores,102.8,101.0,2023,Nov,2023-11
2023-11-01,Household goods,98.6,99.0,2023,Nov,2023-11
2023-11-01,Non-food stores,101.1,100.5,2023,Nov,2023-11
2023-11-01,Non-store retailing,102.9,101.8,2023,Nov,2023-11
