RecordType,SortOrder,Label,SurveyStart,SurveyEnd,AdoptionRate,AverageTechnologies,AdoptionIndex,DepthIndex,OneTechnologyRate,MultiTechnologyRate,AnyAIRate,ExtensiveUse,SourceURL
Trend,1,Sep 23,2023-09-18,2023-10-01,0.119,1.42,100.0,100.0,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,2,Dec 23,2023-12-11,2023-12-24,0.118,1.41,99.2,99.3,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,3,Mar 24,2024-03-18,2024-03-31,0.138,1.49,116.0,104.9,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,4,Jun 24,2024-06-17,2024-06-30,0.148,1.48,124.4,104.2,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,5,Sep 24,2024-09-16,2024-09-29,0.178,1.50,149.6,105.6,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,6,Dec 24,2024-12-16,2024-12-29,0.182,1.48,152.9,104.2,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,7,Mar 25,2025-03-17,2025-03-30,0.206,1.47,173.1,103.5,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,8,Jun 25,2025-06-16,2025-06-29,0.251,1.54,210.9,108.5,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,9,Sep 25,2025-09-15,2025-09-28,0.272,1.56,228.6,109.9,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,10,Dec 25,2025-12-15,2025-12-28,0.287,1.54,241.2,108.5,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,11,Mar 26,2026-03-16,2026-03-29,0.321,1.55,269.7,109.2,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Trend,12,Jun 26,2026-06-15,2026-06-28,0.349,1.59,293.3,112.0,,,,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,1,Information & communication,,,,,,,0.302,0.281,0.583,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,2,Education (private sector),,,,,,,0.249,0.258,0.507,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,3,Professional scientific & technical,,,,,,,0.285,0.173,0.458,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,4,Arts entertainment & recreation,,,,,,,0.212,0.110,0.322,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,5,Administrative & support,,,,,,,0.214,0.081,0.295,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,6,Real estate,,,,,,,0.228,0.023,0.251,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,7,Other services,,,,,,,0.198,0.022,0.220,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,8,Manufacturing,,,,,,,0.171,0.045,0.216,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,9,Health & social work (private sector),,,,,,,0.200,0.010,0.210,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,10,Accommodation & food,,,,,,,0.173,0.033,0.206,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,11,Wholesale & retail,,,,,,,0.157,0.048,0.205,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,12,Transport & storage,,,,,,,0.191,0.003,0.194,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
Sector,13,Construction,,,,,,,0.124,0.006,0.130,0.10,https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026
